Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]
Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 1906.50it/s]
Loading weights:   0%|          | 0/426 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 426/426 [00:00<00:00, 8403.36it/s]
legs      hidden=spider   expected=8        top='8'          rank_final=  72303 rank_any= 210202 rank_unspoken= 210198 top12=['OPA', '际', ' Neder', ' أراد', 'tauf', '酸甜', ' веб', 'web', ' Muit', 'مبر', '情的', '顿']
legs      hidden=ant      expected=6        top='6'          rank_final=  27602 rank_any=   2214 rank_unspoken=   2213 top12=['加分', ' Blessed', '्', '际', '卡在', 'TS', '情的', '向', '顿', 'downloads', 'loader', ' الشخصي']
shape     hidden=triangle expected=3        top='3'          rank_final=  63258 rank_any=  22698 rank_unspoken=  22698 top12=['角', ' freig', '际', 'side', '凸', '情的', '顿', ' الشخصي', '頓', '产的', '_regular', 'Faces']
shape     hidden=square   expected=4        top='4'          rank_final=  62951 rank_any=  51717 rank_unspoken=  51717 top12=['角', ' freig', '际', '凸', 'artisan', '情的', '顿', ' الشخصي', 'abia', '頓', '边', 'side']
element   hidden=helium   expected=He       top=' He'        rank_final=  61879 rank_any= 204426 rank_unspoken= 204422 top12=['elements', 'ElementType', '元素', 'Elements', '元素的', '炎', 'infl', ' عناصر', ' inflation', '通胀', '的元素', 'flation']
element   hidden=oxygen   expected=O        top='0'          rank_final=  73604 rank_any= 206537 rank_unspoken= 206533 top12=['elements', 'ElementType', '元素', 'Elements', '元素的', ' عناصر', '的元素', '-elements', '_elements', ' элементы', ' элемента', 'element']
capital   hidden=Canada   expected=Ottawa   top='1'          rank_final=    167 rank_any=     20 rank_unspoken=     20 top12=['capital', 'Capital', '加拿大', ' Leaves', '资本', ' CAPITAL', 'Canadian', ' Capital', ' Kapital', '-capital', ' capitale', ' kapital']
capital   hidden=Italy    expected=Rome     top=' Rome'      rank_final=  67552 rank_any= 106646 rank_unspoken= 106642 top12=['capital', 'Capital', '资本', ' CAPITAL', 'Bootstrap', ' Capital', '_bootstrap', 'o', ' Kapital', '-capital', ' kapital', '半']
currency  hidden=Japan    expected=yen      top='1'          rank_final=  70261 rank_any= 203152 rank_unspoken= 203149 top12=['Capital', '资本', 'capital', ' capitale', '-capital', ' CAPITAL', ' Capitals', ' капитал', '資本', ' капит', '首都', ' Capitale']
currency  hidden=France   expected=euro     top='1'          rank_final=  72457 rank_any= 184772 rank_unspoken= 184769 top12=['Capital', '资本', 'capital', ' capitale', '-capital', ' CAPITAL', ' Capitals', ' капитал', '資本', ' капит', '首都', ' Capitale']
color     hidden=banana   expected=yellow   top=' red'       rank_final=  65618 rank_any=  35315 rank_unspoken=  35315 top12=['dos', '际', '情的', '顿', ' الشخصي', 'uyer', 'ộp', '頓', 'o', 'limits', 'l', '产的']
color     hidden=apple    expected=red      top=' red'       rank_final=  17169 rank_any=  41312 rank_unspoken=  41312 top12=['际', '遠離', 'emps', '情的', '顿', '除依法须经批准的项目外', ' الشخصي', 'erca', '远离', 'ARIABLE', '頓', 'งค์']
planet    hidden=Mars     expected=2        top='2'          rank_final=  79315 rank_any= 201001 rank_unspoken= 200996 top12=['红', 'Red', 'planet', '行星', 'Planet', '和红', '红的', 'RED', ' planète', '紅', '_Red', 'zeria']
direction hidden=east     expected=west     top='6'          rank_final=  71951 rank_any=     50 rank_unspoken=     50 top12=['sun', '太阳', 'someone', ' صباح', 'rices', '际', 'ree', 'Sun', 'rint', '日月', ' Yüks', 'روع']
month     hidden=October  expected=November top='1'          rank_final=  73082 rank_any= 159036 rank_unspoken= 159034 top12=['.dec', '秋风', 'Routes', ' véh', 'liv', 'Oct', 'paths', 'Dec', 'Ghost', 'dec', '际', 'Layers']
